date,port_name,country,region_cluster,monsoon_risk_level,cyclone_risk_level,typical_disruption_days,notes
2026-09-06,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.215,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2017-06-18,Gopalpur,India,East Coast India,High,Low,0.13,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-17,Gopalpur,India,East Coast India,High,Low,0.097,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-16,Gopalpur,India,East Coast India,High,Low,0.134,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-15,Gopalpur,India,East Coast India,High,Low,0.188,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-14,Gopalpur,India,East Coast India,High,Low,0.125,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-13,Gopalpur,India,East Coast India,High,Low,0.16,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-12,Gopalpur,India,East Coast India,High,Low,0.178,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-11,Gopalpur,India,East Coast India,High,Low,0.167,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-10,Gopalpur,India,East Coast India,High,Low,0.098,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-09,Gopalpur,India,East Coast India,High,Low,0.188,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-08,Gopalpur,India,East Coast India,High,Low,0.084,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-07,Gopalpur,India,East Coast India,High,Low,0.165,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-06,Gopalpur,India,East Coast India,High,Low,0.175,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-05,Gopalpur,India,East Coast India,High,Low,0.108,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-04,Gopalpur,India,East Coast India,High,Low,0.12,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-03,Gopalpur,India,East Coast India,High,Low,0.085,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-02,Gopalpur,India,East Coast India,High,Low,0.097,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-06-01,Gopalpur,India,East Coast India,High,Low,0.1,SW monsoon (Jun–Sep); rain/wind can reduce port productivity.
2017-05-31,Gopalpur,India,East Coast India,Low,Medium,0.141,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-30,Gopalpur,India,East Coast India,Low,Medium,0.139,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-29,Gopalpur,India,East Coast India,Low,Medium,0.198,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-28,Gopalpur,India,East Coast India,Low,Medium,0.142,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-27,Gopalpur,India,East Coast India,Low,Medium,0.186,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-26,Gopalpur,India,East Coast India,Low,Medium,0.189,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-25,Gopalpur,India,East Coast India,Low,Medium,0.149,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-24,Gopalpur,India,East Coast India,Low,Medium,0.181,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-23,Gopalpur,India,East Coast India,Low,Medium,0.096,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-22,Gopalpur,India,East Coast India,Low,Medium,0.121,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-21,Gopalpur,India,East Coast India,Low,Medium,0.194,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-20,Gopalpur,India,East Coast India,Low,Medium,0.11,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-19,Gopalpur,India,East Coast India,Low,Medium,0.085,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-18,Gopalpur,India,East Coast India,Low,Medium,0.1,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-17,Gopalpur,India,East Coast India,Low,Medium,0.181,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-16,Gopalpur,India,East Coast India,Low,Medium,0.126,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-15,Gopalpur,India,East Coast India,Low,Medium,0.102,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-14,Gopalpur,India,East Coast India,Low,Medium,0.108,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-13,Gopalpur,India,East Coast India,Low,Medium,0.083,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-12,Gopalpur,India,East Coast India,Low,Medium,0.131,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-11,Gopalpur,India,East Coast India,Low,Medium,0.172,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-10,Gopalpur,India,East Coast India,Low,Medium,0.121,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-09,Gopalpur,India,East Coast India,Low,Medium,0.172,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-08,Gopalpur,India,East Coast India,Low,Medium,0.125,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-07,Gopalpur,India,East Coast India,Low,Medium,0.199,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-06,Gopalpur,India,East Coast India,Low,Medium,0.163,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-05,Gopalpur,India,East Coast India,Low,Medium,0.187,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-04,Gopalpur,India,East Coast India,Low,Medium,0.181,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-03,Gopalpur,India,East Coast India,Low,Medium,0.17,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-02,Gopalpur,India,East Coast India,Low,Medium,0.168,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-05-01,Gopalpur,India,East Coast India,Low,Medium,0.178,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-30,Gopalpur,India,East Coast India,Low,Medium,0.14,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-29,Gopalpur,India,East Coast India,Low,Medium,0.138,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-28,Gopalpur,India,East Coast India,Low,Medium,0.151,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-27,Gopalpur,India,East Coast India,Low,Medium,0.174,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-26,Gopalpur,India,East Coast India,Low,Medium,0.158,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-25,Gopalpur,India,East Coast India,Low,Medium,0.113,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-24,Gopalpur,India,East Coast India,Low,Medium,0.1,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-23,Gopalpur,India,East Coast India,Low,Medium,0.113,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-22,Gopalpur,India,East Coast India,Low,Medium,0.194,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-21,Gopalpur,India,East Coast India,Low,Medium,0.099,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-20,Gopalpur,India,East Coast India,Low,Medium,0.166,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-19,Gopalpur,India,East Coast India,Low,Medium,0.109,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-18,Gopalpur,India,East Coast India,Low,Medium,0.101,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-17,Gopalpur,India,East Coast India,Low,Medium,0.19,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-16,Gopalpur,India,East Coast India,Low,Medium,0.104,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-15,Gopalpur,India,East Coast India,Low,Medium,0.109,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-14,Gopalpur,India,East Coast India,Low,Medium,0.198,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-13,Gopalpur,India,East Coast India,Low,Medium,0.113,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-12,Gopalpur,India,East Coast India,Low,Medium,0.174,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-11,Gopalpur,India,East Coast India,Low,Medium,0.189,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-10,Gopalpur,India,East Coast India,Low,Medium,0.091,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-09,Gopalpur,India,East Coast India,Low,Medium,0.188,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-08,Gopalpur,India,East Coast India,Low,Medium,0.15,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-07,Gopalpur,India,East Coast India,Low,Medium,0.156,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-06,Gopalpur,India,East Coast India,Low,Medium,0.098,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-05,Gopalpur,India,East Coast India,Low,Medium,0.174,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-04,Gopalpur,India,East Coast India,Low,Medium,0.13,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-03,Gopalpur,India,East Coast India,Low,Medium,0.125,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-02,Gopalpur,India,East Coast India,Low,Medium,0.173,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-04-01,Gopalpur,India,East Coast India,Low,Medium,0.122,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-31,Gopalpur,India,East Coast India,Low,Low,0.078,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-30,Gopalpur,India,East Coast India,Low,Low,0.054,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-29,Gopalpur,India,East Coast India,Low,Low,0.053,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-28,Gopalpur,India,East Coast India,Low,Low,0.038,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-27,Gopalpur,India,East Coast India,Low,Low,0.057,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-26,Gopalpur,India,East Coast India,Low,Low,0.055,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-25,Gopalpur,India,East Coast India,Low,Low,0.037,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-24,Gopalpur,India,East Coast India,Low,Low,0.07,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-23,Gopalpur,India,East Coast India,Low,Low,0.027,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-22,Gopalpur,India,East Coast India,Low,Low,0.026,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-21,Gopalpur,India,East Coast India,Low,Low,0.033,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-20,Gopalpur,India,East Coast India,Low,Low,0.039,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-19,Gopalpur,India,East Coast India,Low,Low,0.063,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-18,Gopalpur,India,East Coast India,Low,Low,0.042,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-17,Gopalpur,India,East Coast India,Low,Low,0.042,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-16,Gopalpur,India,East Coast India,Low,Low,0.079,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-15,Gopalpur,India,East Coast India,Low,Low,0.028,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-14,Gopalpur,India,East Coast India,Low,Low,0.073,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-13,Gopalpur,India,East Coast India,Low,Low,0.063,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-12,Gopalpur,India,East Coast India,Low,Low,0.022,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-11,Gopalpur,India,East Coast India,Low,Low,0.075,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-10,Gopalpur,India,East Coast India,Low,Low,0.044,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-09,Gopalpur,India,East Coast India,Low,Low,0.073,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-08,Gopalpur,India,East Coast India,Low,Low,0.068,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-07,Gopalpur,India,East Coast India,Low,Low,0.072,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-06,Gopalpur,India,East Coast India,Low,Low,0.069,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-05,Gopalpur,India,East Coast India,Low,Low,0.023,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-04,Gopalpur,India,East Coast India,Low,Low,0.075,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-03,Gopalpur,India,East Coast India,Low,Low,0.068,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-02,Gopalpur,India,East Coast India,Low,Low,0.023,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-03-01,Gopalpur,India,East Coast India,Low,Low,0.042,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-28,Gopalpur,India,East Coast India,Low,Low,0.04,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-27,Gopalpur,India,East Coast India,Low,Low,0.077,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-26,Gopalpur,India,East Coast India,Low,Low,0.062,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-25,Gopalpur,India,East Coast India,Low,Low,0.048,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-24,Gopalpur,India,East Coast India,Low,Low,0.043,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-23,Gopalpur,India,East Coast India,Low,Low,0.024,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-22,Gopalpur,India,East Coast India,Low,Low,0.027,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-21,Gopalpur,India,East Coast India,Low,Low,0.044,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-20,Gopalpur,India,East Coast India,Low,Low,0.041,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-19,Gopalpur,India,East Coast India,Low,Low,0.055,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-18,Gopalpur,India,East Coast India,Low,Low,0.038,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-17,Gopalpur,India,East Coast India,Low,Low,0.062,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-16,Gopalpur,India,East Coast India,Low,Low,0.024,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-15,Gopalpur,India,East Coast India,Low,Low,0.061,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-14,Gopalpur,India,East Coast India,Low,Low,0.041,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-13,Gopalpur,India,East Coast India,Low,Low,0.045,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-12,Gopalpur,India,East Coast India,Low,Low,0.068,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-11,Gopalpur,India,East Coast India,Low,Low,0.057,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-10,Gopalpur,India,East Coast India,Low,Low,0.06,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-09,Gopalpur,India,East Coast India,Low,Low,0.076,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-08,Gopalpur,India,East Coast India,Low,Low,0.059,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-07,Gopalpur,India,East Coast India,Low,Low,0.03,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-06,Gopalpur,India,East Coast India,Low,Low,0.074,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-05,Gopalpur,India,East Coast India,Low,Low,0.075,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-04,Gopalpur,India,East Coast India,Low,Low,0.041,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-03,Gopalpur,India,East Coast India,Low,Low,0.027,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-02,Gopalpur,India,East Coast India,Low,Low,0.039,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-02-01,Gopalpur,India,East Coast India,Low,Low,0.074,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-31,Gopalpur,India,East Coast India,Low,Low,0.04,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-30,Gopalpur,India,East Coast India,Low,Low,0.036,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-29,Gopalpur,India,East Coast India,Low,Low,0.072,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-28,Gopalpur,India,East Coast India,Low,Low,0.043,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-27,Gopalpur,India,East Coast India,Low,Low,0.069,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-26,Gopalpur,India,East Coast India,Low,Low,0.039,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-25,Gopalpur,India,East Coast India,Low,Low,0.048,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-24,Gopalpur,India,East Coast India,Low,Low,0.068,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-23,Gopalpur,India,East Coast India,Low,Low,0.045,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-22,Gopalpur,India,East Coast India,Low,Low,0.035,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-21,Gopalpur,India,East Coast India,Low,Low,0.04,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-20,Gopalpur,India,East Coast India,Low,Low,0.046,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-19,Gopalpur,India,East Coast India,Low,Low,0.076,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-18,Gopalpur,India,East Coast India,Low,Low,0.06,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-17,Gopalpur,India,East Coast India,Low,Low,0.051,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-16,Gopalpur,India,East Coast India,Low,Low,0.034,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-15,Gopalpur,India,East Coast India,Low,Low,0.038,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-14,Gopalpur,India,East Coast India,Low,Low,0.037,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-13,Gopalpur,India,East Coast India,Low,Low,0.027,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-12,Gopalpur,India,East Coast India,Low,Low,0.06,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-11,Gopalpur,India,East Coast India,Low,Low,0.022,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-10,Gopalpur,India,East Coast India,Low,Low,0.043,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-09,Gopalpur,India,East Coast India,Low,Low,0.057,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-08,Gopalpur,India,East Coast India,Low,Low,0.05,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-07,Gopalpur,India,East Coast India,Low,Low,0.078,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-06,Gopalpur,India,East Coast India,Low,Low,0.05,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-05,Gopalpur,India,East Coast India,Low,Low,0.041,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-04,Gopalpur,India,East Coast India,Low,Low,0.046,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-03,Gopalpur,India,East Coast India,Low,Low,0.029,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-02,Gopalpur,India,East Coast India,Low,Low,0.024,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2017-01-01,Gopalpur,India,East Coast India,Low,Low,0.042,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-31,Gopalpur,India,East Coast India,Low,Medium,0.185,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-30,Gopalpur,India,East Coast India,Low,Medium,0.159,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-29,Gopalpur,India,East Coast India,Low,Medium,0.181,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-28,Gopalpur,India,East Coast India,Low,Medium,0.141,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-27,Gopalpur,India,East Coast India,Low,Medium,0.182,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-26,Gopalpur,India,East Coast India,Low,Medium,0.123,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-25,Gopalpur,India,East Coast India,Low,Medium,0.135,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-24,Gopalpur,India,East Coast India,Low,Medium,0.105,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-23,Gopalpur,India,East Coast India,Low,Medium,0.167,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-22,Gopalpur,India,East Coast India,Low,Medium,0.103,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-21,Gopalpur,India,East Coast India,Low,Medium,0.104,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-20,Gopalpur,India,East Coast India,Low,Medium,0.178,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-19,Gopalpur,India,East Coast India,Low,Medium,0.098,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-18,Gopalpur,India,East Coast India,Low,Medium,0.086,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-17,Gopalpur,India,East Coast India,Low,Medium,0.093,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-16,Gopalpur,India,East Coast India,Low,Medium,0.173,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-15,Gopalpur,India,East Coast India,Low,Medium,0.127,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-14,Gopalpur,India,East Coast India,Low,Medium,0.146,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-13,Gopalpur,India,East Coast India,Low,Medium,0.128,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-12,Gopalpur,India,East Coast India,Low,Medium,0.173,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-11,Gopalpur,India,East Coast India,Low,Medium,0.149,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-10,Gopalpur,India,East Coast India,Low,Medium,0.085,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-09,Gopalpur,India,East Coast India,Low,Medium,0.126,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-08,Gopalpur,India,East Coast India,Low,Medium,0.127,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-07,Gopalpur,India,East Coast India,Low,Medium,0.123,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-06,Gopalpur,India,East Coast India,Low,Medium,0.181,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-05,Gopalpur,India,East Coast India,Low,Medium,0.176,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-04,Gopalpur,India,East Coast India,Low,Medium,0.09,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-03,Gopalpur,India,East Coast India,Low,Medium,0.174,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-02,Gopalpur,India,East Coast India,Low,Medium,0.095,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-12-01,Gopalpur,India,East Coast India,Low,Medium,0.112,Lower seasonal risk; occasional pre-monsoon storms (Apr–May).
2016-11-30,Gopalpur,India,East Coast India,Low,High,0.181,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-29,Gopalpur,India,East Coast India,Low,High,0.167,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-28,Gopalpur,India,East Coast India,Low,High,0.307,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-27,Gopalpur,India,East Coast India,Low,High,0.275,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-26,Gopalpur,India,East Coast India,Low,High,0.17,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-25,Gopalpur,India,East Coast India,Low,High,0.259,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-24,Gopalpur,India,East Coast India,Low,High,0.185,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-23,Gopalpur,India,East Coast India,Low,High,0.158,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-22,Gopalpur,India,East Coast India,Low,High,0.346,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-21,Gopalpur,India,East Coast India,Low,High,0.315,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-20,Gopalpur,India,East Coast India,Low,High,0.252,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-19,Gopalpur,India,East Coast India,Low,High,0.284,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-18,Gopalpur,India,East Coast India,Low,High,0.174,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-17,Gopalpur,India,East Coast India,Low,High,0.334,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-16,Gopalpur,India,East Coast India,Low,High,0.185,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-15,Gopalpur,India,East Coast India,Low,High,0.234,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-14,Gopalpur,India,East Coast India,Low,High,0.227,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-13,Gopalpur,India,East Coast India,Low,High,0.183,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
2016-11-12,Gopalpur,India,East Coast India,Low,High,0.241,Post-monsoon cyclone peak (Oct–Nov); historical landfalls on Odisha–Andhra coasts.
